"Previous_Treatment","Mouse","Drugs","lSize","Size"
"Untreated","AN20CUK008663","CT",5.5596944631564,259.743463
"Untreated","AN20CUK008656","Olaparib",4.51975816933959,91.813392
"Untreated","AN20CUK008661","Olaparib",6.10710022550885,449.034726
"Untreated","AN20CUK008660","Olaparib",6.73746765588205,843.422194
"Untreated","AN20CUK008662","Olaparib",6.85491691949074,948.5333215
"CT","AN20CUK008645","CT",5.67936064977453,292.7621925
"CT","AN20CUK008646","CT",5.88585831237481,359.911552
"CT","AN20CUK008647","CT",7.14770269442077,1271.182304
"CT","AN20CUK008650","CT",3.12911677101495,22.8537855
"CT","AN20CUK008644","Olaparib",5.91171930227132,369.340618
"CT","AN20CUK008652","Olaparib",4.63424404056444,102.9500625
"CT","AN20CUK008653","Olaparib",4.54276493980061,93.950208
"CT","AN20CUK008664","Olaparib",5.61629860787903,274.870096
"CT","AN20CUK008666","Olaparib",6.41373242878698,610.1668405
"CT","AN20CUK008642","CT",4.61954475505411,101.447838
"CT","AN20CUK008675","CT",5.26696177547281,193.8261795
"CT","AN20CUK008680","CT",6.44641243899304,630.4365015
"CT","AN20CUK008641","Olaparib",4.36641317654299,78.760624
"CT","AN20CUK008678","Olaparib",5.32737613602704,205.897019
"CT","AN20CUK008640","Olaparib",4.47009793256135,87.3652785
"CT","AN20CUK008671","Olaparib",6.1271317828199,458.120286
"Olaparib","AN20CUK008700","CT",5.73112976534658,308.317398
"Olaparib","AN20CUK008693","CT",5.77854228003476,323.287584
"Olaparib","AN20CUK008695","CT",5.56522349726178,261.183571
"Olaparib","AN20CUK008687","Olaparib",5.39042942417062,219.297537
"Olaparib","AN20CUK008697","Olaparib",6.72548179083287,833.3733915
"Olaparib","AN20CUK008685","Olaparib",6.90871466662261,1000.959848
"Olaparib","AN20CUK008690","Olaparib",3.81943647611806,45.5785165
"Olaparib","AN20CUK008698","Olaparib",6.30459401217104,547.0794355
