"Model";"Parameter";"Estimate";"Std. Error";"Pr(>|t|)";"CI_low";"CI_high";"pCR";"Drug"
"PAR1141";"(Intercept)";3,19049266297385;0,20800537349687;0,0000000000000229038484672091;2,80018159234844;3,61299754170382;"No";NA
"PAR1141";"Time";0,0269365750069852;0,00252630832718956;0,000000000132370663233247;0,021762253204264;0,032135195011932;"No";NA
"PAR1141";"GroupAZD1775";-0,061852114418815;0,290305604319057;0,833067223057514;-0,593888111144262;0,484029279218592;"No";NA
"PAR1141";"GroupCT";2,39875926391016;0,292362816401111;0,0000000153556428738963;1,80119120795372;2,93258068404805;"No";NA
"PAR1141";"GroupCTO";1,6698607700087;0,291350673361025;0,00000610745121969106;1,09505257033575;2,21306232682255;"No";NA
"PAR1141";"GroupOlap+AZD1775";1,11138722133673;0,290334610618228;0,000804284204697302;0,557135617674719;1,66948570821804;"No";NA
"PAR1141";"GroupOlaparib";1,55614431901085;0,291371392108682;0,0000163987839960939;0,953966405162337;2,0641184672138;"No";NA
"PAR1141";"Time:GroupAZD1775";-0,00320658123344439;0,00354132102754781;0,374491708618017;-0,0102401064728778;0,00382401835691644;"No";"AZD1775"
"PAR1141";"Time:GroupCT";-0,00630975774159295;0,00367608035899706;0,0975782610562904;-0,0130789550220734;0,00224457119438121;"No";"CT"
"PAR1141";"Time:GroupCTO";-0,00851533973472573;0,00360185246426365;0,0262199548938588;-0,0146072354267712;-0,00184479349939417;"No";"CTO"
"PAR1141";"Time:GroupOlap+AZD1775";-0,00821975640869436;0,00354530895095951;0,0295082801058574;-0,0157112814171167;-0,000989999595939777;"No";"Olap+AZD1775"
"PAR1141";"Time:GroupOlaparib";-0,00493782009569135;0,00358392812106935;0,180784633531284;-0,0115508161716109;0,00204454745563235;"No";"Olaparib"
"PAR1008";"(Intercept)";2,67357175643656;0,465078563929904;0,00000734420242011029;1,81402184185642;3,51957043924735;"No";NA
"PAR1008";"Time";0,0154611231630143;0,00152850450929515;0,0000000013174497428104;0,0123846875589143;0,0188341286871463;"No";NA
"PAR1008";"GroupAZD1775";-0,0846781017560079;0,65857568521028;0,898800351683467;-1,36658646678034;1,17640012425342;"No";NA
"PAR1008";"GroupCT";1,37332609760068;0,657485499843359;0,0479694897218086;0,176914427176491;2,65975685916999;"No";NA
"PAR1008";"GroupCTO";0,775978403946309;0,658734807632051;0,250740435247113;-0,449428117370493;2,08201993280686;"No";NA
"PAR1008";"GroupOlap+AZD1775";1,41466007670117;0,657494533894033;0,0421446260669649;-0,0436031027760701;2,85626809725183;"No";NA
"PAR1008";"GroupOlaparib";1,72605711249778;0,657410486258765;0,0151090860337852;0,389609774015115;2,96763326241248;"No";NA
"PAR1008";"Time:GroupAZD1775";0,000636552143529347;0,00217603052467036;0,77263075168213;-0,00373476710101049;0,00493122301686411;"No";"AZD1775"
"PAR1008";"Time:GroupCT";0,00180071070176464;0,00217242677060761;0,416144637969939;-0,00270456749851965;0,00601853959676934;"No";"CT"
"PAR1008";"Time:GroupCTO";0,000512125452440236;0,00217921816834752;0,816375603263801;-0,00446615586250409;0,00489164043935463;"No";"CTO"
"PAR1008";"Time:GroupOlap+AZD1775";0,00170371428342016;0,00218842753883219;0,444449950578123;-0,0033493730688471;0,00708683750133754;"No";"Olap+AZD1775"
"PAR1008";"Time:GroupOlaparib";-0,00267495212379152;0,00216827510329579;0,230552997319038;-0,00696995907957407;0,00177501289384787;"No";"Olaparib"
"PAR1022";"(Intercept)";4,21066144050785;0,336226931517338;0,0000000000325205837872554;3,55371553454749;4,87136188360962;"Yes";NA
"PAR1022";"Time";0,0651851016485639;0,00587857959439667;0,00000000465902602569347;0,0520337667624736;0,0755390864061547;"Yes";NA
"PAR1022";"GroupAZD1775";0,981979560128372;0,474643162869117;0,0511682668073211;-0,0180472257119615;1,92258234118774;"Yes";NA
"PAR1022";"GroupCT";1,88374183848301;0,54797750536513;0,00248815342765216;0,753454052201354;2,9205628055942;"Yes";NA
