"contrast";"estimate";"SE";"df";"lower.CL";"upper.CL";"t.ratio";"p.value";"Model";"pCR";"Drugs"
"Untreated - AZD1775";174,965040692893;30,5389655149434;16,1317687218062;81,4938663742635;268,436215011522;5,72923927653274;0,000253593344256231;"PAR1006";"Yes";"AZD1775"
"Untreated - CTO";131,254483280694;30,0829507635292;15,5016803356742;38,7392969843714;223,769669577017;4,36308540051262;0,00403751945702047;"PAR1006";"Yes";"CTO"
"Untreated - (Olap+AZD1775)";157,418834434418;33,1199330551407;17,3922314115955;56,9039409268848;257,93372794195;4,75299373861457;0,00142812623159794;"PAR1006";"Yes";"(Olap+AZD1775)"
"Untreated - Olaparib";152,424774778839;32,3143644087697;16,4194121183188;53,7223003159044;251,127249241774;4,71693556619895;0,00176152242396455;"PAR1006";"Yes";"Olaparib"
"AZD1775 - CTO";-43,7105574121987;28,8095077935996;16,1278343333217;-131,890868452609;44,4697536282115;-1,51722680322603;0,566563501829098;"PAR1006";"Yes";"AZD1775 - CTO"
"AZD1775 - (Olap+AZD1775)";-17,5462062584754;31,9676989826537;18,0906586185191;-114,159338896961;79,0669263800107;-0,548872981693061;0,980693973958102;"PAR1006";"Yes";"AZD1775 - (Olap+AZD1775)"
"AZD1775 - Olaparib";-22,5402659140536;31,1323298166282;17,0681269436562;-117,217744043818;72,1372122157112;-0,724014747589323;0,947973059223274;"PAR1006";"Yes";"AZD1775 - Olaparib"
"CTO - (Olap+AZD1775)";26,1643511537233;31,5323530705143;17,5173385053911;-69,458394116192;121,787096423639;0,82976208896346;0,917769081482177;"PAR1006";"Yes";"CTO - (Olap+AZD1775)"
"CTO - Olaparib";21,1702914981451;30,685134376915;16,4479855880786;-72,5370629658604;114,877645962151;0,689920116956433;0,955884612493764;"PAR1006";"Yes";"CTO - Olaparib"
"(Olap+AZD1775) - Olaparib";-4,99405965557825;33,6678408969956;18,2097524159825;-106,676152089054;96,688032777897;-0,148333232025696;0,999879782947465;"PAR1006";"Yes";"(Olap+AZD1775) - Olaparib"
"Untreated - AZD1775";119,617156590935;42,3906534796725;20,1770740661688;-13,5119330335713;252,74624621544;2,82178137801755;0,094302129627271;"PAR1040";"No";"AZD1775"
"Untreated - CT";54,3937601015995;22,7537210623432;15,0777910701589;-19,4817560602186;128,269276263418;2,39054350506299;0,219890179327188;"PAR1040";"No";"CT"
"Untreated - CTO";65,0461978683619;22,6808753365255;14,9137215780918;-8,69984791729404;138,792243654018;2,86788745598416;0,0997820471036991;"PAR1040";"No";"CTO"
"Untreated - (Olap+AZD1775)";104,376461076963;39,2274571703591;14,8349076970891;-23,260700495922;232,013622649848;2,66080109714151;0,142645074678162;"PAR1040";"No";"(Olap+AZD1775)"
"Untreated - Olaparib";110,711197624433;24,0802707500244;14,9705337775981;32,4547243425982;188,967670906269;4,59758940311422;0,00386235423319059;"PAR1040";"No";"Olaparib"
"AZD1775 - CT";-65,223396489335;42,4122260699546;20,2103995355735;-198,39870312138;67,9519101427104;-1,53784421458463;0,645399858725711;"PAR1040";"No";"AZD1775 - CT"
"AZD1775 - CTO";-54,5709587225726;42,3731896847173;20,1483349824812;-187,663815141304;78,5218976961593;-1,28786525462478;0,788026138862116;"PAR1040";"No";"AZD1775 - CTO"
"AZD1775 - (Olap+AZD1775)";-15,2406955139716;53,10233981736;17,9221426641328;-184,08256065935;153,601169631407;-0,287006101169748;0,999687288425128;"PAR1040";"No";"AZD1775 - (Olap+AZD1775)"
"AZD1775 - Olaparib";-8,90595896650106;43,1384345731333;19,9493742174688;-144,535191168725;126,723273235722;-0,206450675705504;0,999939171728036;"PAR1040";"No";"AZD1775 - Olaparib"
"CT - CTO";10,6524377667624;22,7211690677721;15,0018543833663;-63,1667059851315;84,4715815186563;0,468833172051518;0,996596818951509;"PAR1040";"No";"CT - CTO"
"CT - (Olap+AZD1775)";49,9827009753634;39,2507683214944;14,8642065998758;-77,6965242277423;177,661926178469;1,27341968355794;0,794336092943275;"PAR1040";"No";"CT - (Olap+AZD1775)"
"CT - Olaparib";56,3174375228339;24,1182266588934;15,0489911279281;-22,0080660506855;134,642941096353;2,33505714658617;0,239655239637505;"PAR1040";"No";"CT - Olaparib"
"CTO - (Olap+AZD1775)";39,330263208601;39,2085844895696;14,8097402015003;-88,2745963689032;166,935122786105;1,00310336934157;0,909733620355107;"PAR1040";"No";"CTO - (Olap+AZD1775)"
"CTO - Olaparib";45,6649997560715;24,0495143613721;14,9031980053779;-32,5384983736483;123,868497885791;1,8987909306567;0,439474578124589;"PAR1040";"No";"CTO - Olaparib"
