"Model";"Drug";"Lb_hat";"CI_low";"CI_high";"pCR"
"PAR1006";"AZD1775";0,0264522175018442;0,0187491380180576;0,0341552969856307;"Yes"
"PAR1006";"CTO";0,00896941878436334;0,00210691299940035;0,0158319245693263;"Yes"
"PAR1006";"Olap+AZD1775";0,0124999212651226;0,00227119976642085;0,0227286427638243;"Yes"
"PAR1006";"Olaparib";0,0193384717010636;0,0102391515618042;0,028437791840323;"Yes"
"PAR1040";"AZD1775";0,0100032484106262;-0,0117465421310851;0,0317530389523375;"No"
"PAR1040";"CT";0,0414407149773215;0,033910762051653;0,04897066790299;"No"
"PAR1040";"CTO";0,0282123202440214;0,0208428438615482;0,0355817966264946;"No"
"PAR1040";"Olap+AZD1775";0,00268337279389227;-0,0136902527798435;0,0190569983676281;"No"
"PAR1040";"Olaparib";0,0192136210696432;0,0109115766709977;0,0275156654682887;"No"
"PAR1053";"AZD1775";0,0167664884984545;0,00330569196489611;0,030227285032013;"Yes"
"PAR1053";"CT";0,0273564349570956;0,0202737450818126;0,0344391248323785;"Yes"
"PAR1053";"CTO";0,014911718437906;0,00541476282051481;0,0244086740552971;"Yes"
"PAR1053";"Olaparib";0,0231705464019424;0,0170446235105137;0,0292964692933711;"Yes"
"PAR1022";"AZD1775";0,015677440280933;0,00662875447985222;0,0247261260820138;"Yes"
"PAR1022";"CT";0,0286229692194821;0,0197180416975991;0,0375278967413651;"Yes"
"PAR1022";"CTO";0,0294971605422739;0,0207089470858393;0,0382853739987084;"Yes"
"PAR1022";"Olap+AZD1775";-0,043491455154572;-0,0610955821290252;-0,0258873281801189;"Yes"
"PAR1022";"Olaparib";0,00153173214882754;-0,007256481307607;0,0103199456052621;"Yes"
"PAR1008";"AZD1775";0,00364189945574414;-0,00525095762029048;0,0125347565317788;"No"
"PAR1008";"CT";0,0251447593204688;0,0180491359487548;0,0322403826921827;"No"
"PAR1008";"CTO";0,0205054160995715;0,0133894593180491;0,027621372881094;"No"
"PAR1008";"Olap+AZD1775";0,0191813713194185;0,0135210164665312;0,0248417261723058;"No"
"PAR1008";"Olaparib";0,0175158540828548;0,0120398397478294;0,0229918684178802;"No"
"PAR1141";"AZD1775";0,0179071259697606;0,00290635838993151;0,0329078935495897;"No"
"PAR1141";"CT";0,0398349107068059;0,0332479863107464;0,0464218351028655;"No"
"PAR1141";"CTO";0,0363255455127879;0,029869662777795;0,0427814282477808;"No"
"PAR1141";"Olap+AZD1775";0,021658430423102;0,0150023432333756;0,0283145176128283;"No"
"PAR1141";"Olaparib";0,0321253003910578;0,025113461045683;0,0391371397364325;"No"
