"Model","Mouse","Drugs","lSize","Size","pCR"
"PAR1006","AN17CUK003822","Olaparib",4.38676309993801,80.3798160037153,"Yes"
"PAR1006","AN17CUK003823","Olaparib",4.50571525969479,90.5330755561806,"Yes"
"PAR1006","AN17CUK003824","Olaparib",5.81847078570093,336.457144950472,"Yes"
"PAR1006","AN17CUK003826","Olaparib",5.9051505950446,366.922478333973,"Yes"
"PAR1006","AN17CUK003837","AZD1775",5.99239135956858,400.370896833593,"Yes"
"PAR1006","AN17CUK003838","AZD1775",5.73997414593266,311.056368805127,"Yes"
"PAR1006","AN17CUK003840","AZD1775",4.92402258872724,137.554828276348,"Yes"
"PAR1006","AN17CUK003841","AZD1775",5.11674483137836,166.791550368505,"Yes"
"PAR1006","AN17CUK012229","CTO",5.14222817866069,171.096577651399,"Yes"
"PAR1006","AN17CUK012230","CTO",5.29210488098999,198.76135440611,"Yes"
"PAR1006","AN17CUK012231","CTO",4.88482271589767,132.2670144167,"Yes"
"PAR1006","AN17CUK012232","CTO",4.49103720187997,89.213930764327,"Yes"
"PAR1006","AN17CUK012233","CTO",5.28673286224681,197.696467541846,"Yes"
"PAR1006","AN17CUK012240","Olap+AZD1775",5.59076637775425,267.940884981938,"Yes"
"PAR1006","AN17CUK012241","Olap+AZD1775",4.86481545367161,129.647010524178,"Yes"
"PAR1006","AN17CUK012242","Olap+AZD1775",4.19640060133505,66.4467318152534,"Yes"
"PAR1006","AN17CUK012243","Olap+AZD1775",4.62419097215322,101.920283371563,"Yes"
"PAR1006","AN17CUK012254","AZD1775",3.93829788316569,51.3311552764438,"Yes"
"PAR1040","AN17CUK044980","Olaparib",4.56703030991685,96.2578289804749,"No"
"PAR1040","AN17CUK044981","Olaparib",4.1776250010633,65.210793588239,"No"
"PAR1040","AN17CUK044983","Olaparib",4.7125350593089,111.334040858949,"No"
"PAR1040","AN17CUK044984","Olaparib",4.96526325100368,143.346281359194,"No"
"PAR1040","AN17CUK044988","AZD1775",4.12614185884185,61.9384939036541,"No"
"PAR1040","AN17CUK044993","Olap+AZD1775",4.03493788255181,56.5394080454901,"No"
"PAR1040","AN17CUK045010","CT",6.41995157761927,613.973383352816,"No"
"PAR1040","AN17CUK045011","CT",5.66293269320931,287.991997476312,"No"
"PAR1040","AN17CUK045012","CT",5.86991168456777,354.21769599742,"No"
"PAR1040","AN17CUK045013","CT",7.21353627506496,1357.68493566718,"No"
"PAR1040","AN17CUK045014","CT",5.90856263573529,368.176571051384,"No"
"PAR1040","AN17CUK045015","CTO",5.23633071183949,187.979085977168,"No"
"PAR1040","AN17CUK045016","CTO",5.72990564207466,307.940210407125,"No"
"PAR1040","AN17CUK045017","CTO",5.41102779972367,223.86155432415,"No"
"PAR1040","AN17CUK045018","CTO",5.81248940548628,334.450673556846,"No"
"PAR1040","AN17CUK045019","CTO",5.58081623433165,265.288054655697,"No"
"PAR1053","AN18CUK012175","Olaparib",4.53332314848357,93.0673243025766,"Yes"
"PAR1053","AN18CUK012176","Olaparib",4.71744234295327,111.881731313826,"Yes"
"PAR1053","AN18CUK012177","Olaparib",4.68462153348574,108.269288253,"Yes"
"PAR1053","AN18CUK012178","Olaparib",5.04953890407172,155.950539746677,"Yes"
"PAR1053","AN18CUK012179","Olaparib",4.29373950581962,73.2398378477944,"Yes"
