"Model";"Mouse";"Drugs";"lSize";"Size";"pCR"
"PAR1022";"AN6";"CT";-7,31111026264876;0,000668074901547251;"Yes"
"PAR1022";"AN8";"CT";-7,59622390075782;0,000502344760164245;"Yes"
"PAR1022";"AN9";"CT";-7,19643047552749;0,000749255526668215;"Yes"
"PAR1022";"AN10";"CT";-8,15204726398401;0,000288144846799599;"Yes"
"PAR1040";"AN16";"CT";2,46493244527329;11,7626875;"No"
"PAR1040";"AN18";"CT";4,30810664485037;74,29968;"No"
"PAR1040";"AN19";"CT";4,25990435984042;70,8032115;"No"
"PAR1040";"AN20";"CT";4,99030413975426;146,9811195;"No"
"PAR1040";"AN17";"CT";3,38113478314215;29,4041194872285;"No"
"PAR1141";"AN26";"CTO";4,85404702576262;128,258406;"No"
"PAR1141";"AN27";"CTO";4,77349179930499;118,331712;"No"
"PAR1141";"AN28";"CTO";5,01217056884587;150,230468083088;"No"
"PAR1141";"AN29";"CTO";5,43686514794497;229,720912437908;"No"
"PAR1141";"AN30";"CTO";6,18510112518038;485,462053564504;"No"
"PAR1221";"AN36";"CTO";3,50754582415952;33,3662805;"No"
"PAR1221";"AN39";"CTO";4,96667017067314;143,5481;"No"
"PAR1221";"AN37";"CTO";5,51226568018725;247,711727310099;"No"
"PAR1221";"AN38";"CTO";5,5376200035554;254,072587450312;"No"
"PAR1006";"AN44";"CTO";2,4308023907948;11,368;"Yes"
"PAR1006";"AN45";"CTO";-0,153858141316725;0,857393641117797;"Yes"
"PAR1006";"AN46";"CTO";1,28132909082744;3,60142316454641;"Yes"
"PAR1177";"AN50";"CTO";0,698121195643075;2,00997281206378;"Yes"
"PAR1177";"AN51";"CTO";0,905660534531452;2,47356525883;"Yes"
"PAR1177";"AN52";"CTO";0,765546560132657;2,15016925034657;"Yes"
"PAR1008";"AN60";"CT";5,73188390476708;308,55;"No"
"PAR1008";"AN61";"CT";3,54825969829701;34,7527845;"No"
"PAR1008";"AN63";"CT";4,44658524935958;85,335048;"No"
"PAR1008";"AN64";"CT";5,08320135812038;161,289576;"No"
"PAR1008";"AN65";"CT";4,6730600460482;107,0247425;"No"
"PAR1053";"AN70";"CT";4,68287169365194;108,08;"Yes"
"PAR1053";"AN71";"CT";4,35670882668959;78;"Yes"
"PAR1053";"AN69";"CT";0,293988412557011;1,34176835591256;"Yes"
"PAR1053";"AN72";"CT";-1,21702419076705;0,296110024074815;"Yes"
