Model,Previous_treatment,Drug,Concentration,Raw Data,Viability,Response
1006,Untreated,Paclitaxel,10,18085,27.71737162,72.28262838
1006,Untreated,Paclitaxel,3,16810,25.75611666,74.24388334
1006,Untreated,Paclitaxel,1,18698,28.66031224,71.33968776
1006,Untreated,Paclitaxel,0.3,14192,21.72900648,78.27099352
1006,Untreated,Paclitaxel,0.1,23455,35.97771604,64.02228396
1006,Untreated,Paclitaxel,0.03,75865,116.5968317,0
1006,Untreated,Paclitaxel,0.01,35200,54.04433526,45.95566474
1006,Untreated,Carboplatin,10,19650,30.12471595,69.87528405
1006,Untreated,Carboplatin,3,24415,37.45442566,62.54557434
1006,Untreated,Carboplatin,1,29587,45.41019872,54.58980128
1006,Untreated,Carboplatin,0.3,47082,72.32169324,27.67830676
1006,Untreated,Carboplatin,0.1,35173,54.0028028,45.9971972
1006,Untreated,Carboplatin,0.03,50090,76.94871671,23.05128329
1006,Untreated,Carboplatin,0.01,43180,66.31948395,33.68051605
1006,Untreated,Olaparib,10,28180,43.24589619,56.75410381
1006,Untreated,Olaparib,3,26431,40.55551585,59.44448415
1006,Untreated,Olaparib,1,41960,64.44283214,35.55716786
1006,Untreated,Olaparib,0.3,47841,73.48921678,26.51078322
1006,Untreated,Olaparib,0.1,53744,82.56944269,17.43055731
1006,Untreated,Olaparib,0.03,66287,101.8635768,0
1006,Untreated,Olaparib,0.01,37411,57.44538209,42.55461791
1006,Untreated,AZD1775,10,3660,5.528271394,94.47172861
1006,Untreated,AZD1775,3,7951,12.12885573,87.87114427
1006,Untreated,AZD1775,1,6199,9.433860682,90.56613932
1006,Untreated,AZD1775,0.3,7612,11.60739265,88.39260735
1006,Untreated,AZD1775,0.1,26819,41.15235266,58.84764734
1006,Untreated,AZD1775,0.03,57638,88.55934607,11.44065393
1006,Untreated,AZD1775,0.01,63021,96.8396876,3.160312404
1006,Untreated,BMN-673,10,15734,24.1009713,75.8990287
1006,Untreated,BMN-673,3,27436,42.10144623,57.89855377
1006,Untreated,BMN-673,1,25761,39.5248956,60.4751044
1006,Untreated,BMN-673,0.3,30452,46.74077561,53.25922439
1006,Untreated,BMN-673,0.1,27740,42.56907095,57.43092905
1006,Untreated,BMN-673,0.03,26261,40.29401519,59.70598481
1006,Untreated,BMN-673,0.01,39309,60.36496007,39.63503993
1006,Untreated,AZD0156,10,18550,28.43265284,71.56734716
1006,Untreated,AZD0156,3,20270,31.07842424,68.92157576
1006,Untreated,AZD0156,1,13760,21.06448715,78.93551285
1006,Untreated,AZD0156,0.3,21837,33.48884504,66.51115496
1006,Untreated,AZD0156,0.1,19663,30.14471306,69.85528694
1006,Untreated,AZD0156,0.03,24964,38.29891897,61.70108103
1006,Untreated,AZD0156,0.01,48047,73.80609405,26.19390595
1006,Untreated,AZD0156,10,15562,23.83639416,76.16360584
1006,Untreated,AZD0156,3,13926,21.31983486,78.68016514
1006,Untreated,AZD0156,1,13404,20.516874,79.483126
1006,Untreated,AZD0156,0.3,20300,31.12457142,68.87542858
1006,Untreated,AZD0156,0.1,26720,41.00006698,58.99993302
1006,Untreated,AZD0156,0.03,40891,62.79845445,37.20154555
1006,Untreated,AZD0156,0.01,41218,63.30145867,36.69854133
1006,Untreated,Paclitaxel,10,15648,23.96868273,76.03131727
1006,Untreated,Paclitaxel,3,14679,22.47812896,77.52187104
1006,Untreated,Paclitaxel,1,16859,25.83149038,74.16850962
1006,Untreated,Paclitaxel,0.3,15376,23.55028167,76.44971833
1006,Untreated,Paclitaxel,0.1,25769,39.53720151,60.46279849
1006,Untreated,Paclitaxel,0.03,29380,45.09178321,54.90821679
1006,Untreated,Paclitaxel,0.01,44408,68.20844166,31.79155834
1006,Untreated,Carboplatin,10,12946,19.81236046,80.18763954
1006,Untreated,Carboplatin,3,25950,39.81562281,60.18437719
1006,Untreated,Carboplatin,1,35408,54.36428901,45.63571099
1006,Untreated,Carboplatin,0.3,35604,54.66578389,45.33421611
1006,Untreated,Carboplatin,0.1,83200,127.8798161,0
1006,Untreated,Carboplatin,0.03,71982,110.6238489,0
1006,Untreated,Carboplatin,0.01,67707,104.0478764,0
1006,Untreated,Olaparib,10,39458,60.5941577,39.4058423
1006,Untreated,Olaparib,3,28080,43.09207227,56.90792773
1006,Untreated,Olaparib,1,63373,97.38114779,2.618852211
1006,Untreated,Olaparib,0.3,51103,78.506953,21.493047
1006,Untreated,Olaparib,0.1,53059,81.51574885,18.48425115
1006,Untreated,Olaparib,0.03,52398,80.49897274,19.50102726
1006,Untreated,Olaparib,0.01,65495,100.6452913,0
1006,Untreated,AZD1775,10,4970,7.543364725,92.45663527
1006,Untreated,AZD1775,3,10509,16.06367157,83.93632843
1006,Untreated,AZD1775,1,13243,20.26921749,79.73078251
1006,Untreated,AZD1775,0.3,13561,20.75837756,79.24162244
1006,Untreated,AZD1775,0.1,24068,36.92065666,63.07934334
1006,Untreated,AZD1775,0.03,40130,61.62785444,38.37214556
1006,Untreated,AZD1775,0.01,46843,71.95405408,28.04594592
1006,Untreated,BMN-673,10,21394,32.80740508,67.19259492
1006,Untreated,BMN-673,3,30694,47.11302949,52.88697051
1006,Untreated,BMN-673,1,24010,36.83143879,63.16856121
1006,Untreated,BMN-673,0.3,32733,50.24949919,49.75050081
1006,Untreated,BMN-673,0.1,30482,46.78692279,53.21307721
1006,Untreated,BMN-673,0.03,36711,56.36861466,43.63138534
1006,Untreated,BMN-673,0.01,38777,59.54661682,40.45338318
1006,Untreated,BMN-673,10,21756,33.36424767,66.63575233
1006,Untreated,BMN-673,3,24618,37.76668821,62.23331179
1006,Untreated,BMN-673,1,29983,46.01934143,53.98065857
1006,Untreated,BMN-673,0.3,26505,40.66934555,59.33065445
1006,Untreated,BMN-673,0.1,38036,58.40678158,41.59321842
1006,Untreated,BMN-673,0.03,30909,47.44375092,52.55624908
1006,Untreated,BMN-673,0.01,29833,45.78860556,54.21139444
1006,Untreated,AZD0156,10,17981,27.55739475,72.44260525
1006,Untreated,AZD0156,3,14324,21.93205405,78.06794595
1006,Untreated,AZD0156,1,19238,29.4909614,70.5090386
1006,Untreated,AZD0156,0.3,13889,21.26292001,78.73707999
1006,Untreated,AZD0156,0.1,23205,35.59315625,64.40684375
1006,Untreated,AZD0156,0.03,27506,42.20912298,57.79087702
1006,Untreated,AZD0156,0.01,44593,68.49301591,31.50698409
1006,Untreated,Paclitaxel,10,16987,26.028385,73.971615
1006,Untreated,Paclitaxel,3,14491,22.18894,77.81106
1006,Untreated,Paclitaxel,1,17005,26.0560733,73.9439267
1006,Untreated,Paclitaxel,0.3,21517,32.9966085,67.0033915
1006,Untreated,Paclitaxel,0.1,22908,35.13629921,64.86370079
1006,Untreated,Paclitaxel,0.03,48177,74.00606515,25.99393485
1006,Untreated,Paclitaxel,0.01,58158,89.35923044,10.64076956
1006,Untreated,Carboplatin,10,14907,22.8288475,77.1711525
1006,Untreated,Carboplatin,3,31557,48.44052991,51.55947009
1006,Untreated,Carboplatin,1,66440,102.0989274,0
1006,Untreated,Carboplatin,0.3,45978,70.62347718,29.37652282
1006,Untreated,Carboplatin,0.1,88534,136.0847839,0
1006,Untreated,Carboplatin,0.03,210824,324.1960537,0
1006,Untreated,Carboplatin,0.01,122128,187.760391,0
1006,Untreated,Olaparib,10,40487,62.17700582,37.82299418
1006,Untreated,Olaparib,3,38250,58.73596477,41.26403523
1006,Untreated,Olaparib,1,41367,63.53065631,36.46934369
1006,Untreated,Olaparib,0.3,45814,70.37120596,29.62879404
1006,Untreated,Olaparib,0.1,72931,112.0836379,0
1006,Untreated,Olaparib,0.03,83568,128.4458881,0
1006,Untreated,Olaparib,0.01,78694,120.9485103,0
1006,Untreated,AZD1775,10,6372,9.699976061,90.30002394
1006,Untreated,AZD1775,3,10737,16.4143901,83.5856099
1006,Untreated,AZD1775,1,11162,17.06814175,82.93185825
1006,Untreated,AZD1775,0.3,16162,24.75933767,75.24066233
1006,Untreated,AZD1775,0.1,21556,33.05659983,66.94340017
1006,Untreated,AZD1775,0.03,56683,87.09032765,12.90967235
1006,Untreated,AZD1775,0.01,54140,83.1785854,16.8214146
1006,Untreated,AZD6738,10,11450,17.51115464,82.48884536
1006,Untreated,AZD6738,3,10713,16.37747236,83.62252764
1006,Untreated,AZD6738,1,12308,18.83096386,81.16903614
1006,Untreated,AZD6738,0.3,14604,22.36276102,77.63723898
1006,Untreated,AZD6738,0.1,21828,33.47500089,66.52499911
1006,Untreated,AZD6738,0.03,43087,66.1764277,33.8235723
1006,Untreated,AZD6738,0.01,74040,113.7895452,0
1006,Untreated,AZD7648,10,21993,33.72881035,66.27118965
1006,Untreated,AZD7648,3,58608,90.05143808,9.948561923
1006,Untreated,AZD7648,1,62108,95.43527522,4.564724779
1006,Untreated,AZD7648,0.3,23794,36.49917913,63.50082087
1006,Untreated,AZD7648,0.1,47899,73.57843466,26.42156534
1006,Untreated,AZD7648,0.03,67486,103.7079256,0
1006,Untreated,AZD7648,0.01,250658,385.4702734,0
1006,Untreated,Epirubicin,10,516,0.6920474,99.3079526
1006,Untreated,Epirubicin,3,462,0.608982484,99.39101752
1006,Untreated,Epirubicin,1,771,1.084298391,98.91570161
1006,Untreated,Epirubicin,0.3,6291,9.575378687,90.42462131
1006,Untreated,Epirubicin,0.1,9570,14.61926497,85.38073503
1006,Untreated,Epirubicin,0.03,41137,63.17686129,36.82313871
1006,Untreated,Epirubicin,0.01,29885,45.86859399,54.13140601
1006,Untreated,AZD7762,10,505,0.675126769,99.32487323
1006,Untreated,AZD7762,3,5554,8.441696409,91.55830359
1006,Untreated,AZD7762,1,8951,13.66709492,86.33290508
1006,Untreated,AZD7762,0.3,9889,15.10996327,84.89003673
1006,Untreated,AZD7762,0.1,15468,23.69179968,76.30820032
1006,Untreated,AZD7762,0.03,34948,53.65669898,46.34330102
1006,Untreated,AZD7762,0.01,48887,75.09821497,24.90178503
1006,Untreated,JQ1,10,437,0.570526504,99.4294735
1006,Untreated,JQ1,3,349,0.435161456,99.56483854
1006,Untreated,JQ1,1,456,0.599753049,99.40024695
1006,Untreated,JQ1,0.3,1568,2.310275021,97.68972498
1006,Untreated,JQ1,0.1,6592,10.03838868,89.96161132
1006,Untreated,JQ1,0.03,36958,56.74855974,43.25144026
1006,Untreated,JQ1,0.01,37975,58.31294899,41.68705101
1006,Untreated,AZD8055,10,735,1.028921781,98.97107822
1006,Untreated,AZD8055,3,1726,2.553316812,97.44668319
1006,Untreated,AZD8055,1,1683,2.487172527,97.51282747
1006,Untreated,AZD8055,0.3,6967,10.61522838,89.38477162
1006,Untreated,AZD8055,0.1,12605,19.2878209,80.7121791
1006,Untreated,AZD8055,0.03,26228,40.2432533,59.7567467
1006,Untreated,AZD8055,0.01,53804,82.66173704,17.33826296
1006,Untreated,AZD8055,10,757,1.062763043,98.93723696
1006,Untreated,AZD8055,3,1620,2.390263459,97.60973654
1006,Untreated,AZD8055,1,1869,2.773285016,97.22671498
1006,Untreated,AZD8055,0.3,6096,9.275422046,90.72457795
1006,Untreated,AZD8055,0.1,10719,16.38670179,83.61329821
1006,Untreated,AZD8055,0.03,23076,35.39472339,64.60527661
1006,Untreated,AZD8055,0.01,36888,56.640883,43.359117
1006,Untreated,AZD6738,10,10831,16.55898458,83.44101542
1006,Untreated,AZD6738,3,13691,20.95834865,79.04165135
1006,Untreated,AZD6738,1,6344,9.656905364,90.34309464
1006,Untreated,AZD6738,0.3,15877,24.32093951,75.67906049
1006,Untreated,AZD6738,0.1,18046,27.6573803,72.3426197
1006,Untreated,AZD6738,0.03,39284,60.32650409,39.67349591
1006,Untreated,AZD6738,0.01,53553,82.275639,17.724361
1006,Untreated,AZD7648,10,16635,25.48692481,74.51307519
1006,Untreated,AZD7648,3,44581,68.47455704,31.52544296
1006,Untreated,AZD7648,1,54277,83.38932417,16.61067583
1006,Untreated,AZD7648,0.3,106010,162.9670519,0
1006,Untreated,AZD7648,0.1,39034,59.94194429,40.05805571
1006,Untreated,AZD7648,0.03,57574,88.46089876,11.53910124
1006,Untreated,AZD7648,0.01,58755,90.27755924,9.722440763
1006,Untreated,Epirubicin,10,347,0.432084977,99.56791502
1006,Untreated,Epirubicin,3,336,0.415164346,99.58483565
1006,Untreated,Epirubicin,1,2471,3.699305004,96.300695
1006,Untreated,Epirubicin,0.3,9114,13.9178279,86.0821721
1006,Untreated,Epirubicin,0.1,14236,21.796689,78.203311
1006,Untreated,Epirubicin,0.03,21609,33.13812651,66.86187349
1006,Untreated,Epirubicin,0.01,26304,40.36015948,59.63984052
1006,Untreated,AZD7762,10,1246,1.814962004,98.185038
1006,Untreated,AZD7762,3,3951,5.975898997,94.024101
1006,Untreated,AZD7762,1,10752,16.43746369,83.56253631
1006,Untreated,AZD7762,0.3,13954,21.36290555,78.63709445
1006,Untreated,AZD7762,0.1,10346,15.81293858,84.18706142
1006,Untreated,AZD7762,0.03,30757,47.20993856,52.79006144
1006,Untreated,AZD7762,0.01,40649,62.42620057,37.57379943
1006,Untreated,JQ1,10,487,0.647438463,99.35256154
1006,Untreated,JQ1,3,357,0.447467369,99.55253263
1006,Untreated,JQ1,1,292,0.347481822,99.65251818
1006,Untreated,JQ1,0.3,707,0.985851084,99.01414892
1006,Untreated,JQ1,0.1,6109,9.295419156,90.70458084
1006,Untreated,JQ1,0.03,32004,49.12812283,50.87187717
1006,Untreated,JQ1,0.01,64829,99.62082404,0.379175959
1006,Untreated,JQ1,10,394,0.504382219,99.49561778
1006,Untreated,JQ1,3,316,0.384399563,99.61560044
1006,Untreated,JQ1,1,388,0.495152784,99.50484722
1006,Untreated,JQ1,0.3,928,1.325801943,98.67419806
1006,Untreated,JQ1,0.1,5060,7.681806252,92.31819375
1006,Untreated,JQ1,0.03,22861,35.06400197,64.93599803
1006,Untreated,JQ1,0.01,54998,84.49839462,15.50160538
1006,Untreated,AZD8055,10,1063,1.533464233,98.46653577
1006,Untreated,AZD8055,3,1012,1.455014035,98.54498597
1006,Untreated,AZD8055,1,2461,3.683922612,96.31607739
1006,Untreated,AZD8055,0.3,4748,7.201875626,92.79812437
1006,Untreated,AZD8055,0.1,8747,13.35329412,86.64670588
1006,Untreated,AZD8055,0.03,29419,45.15177454,54.84822546
1006,Untreated,AZD8055,0.01,50060,76.90256953,23.09743047
1006,Untreated,AZD6738,10,11393,17.423475,82.576525
1006,Untreated,AZD6738,3,10871,16.62051415,83.37948585
1006,Untreated,AZD6738,1,10230,15.63450283,84.36549717
1006,Untreated,AZD6738,0.3,14501,22.20432239,77.79567761
1006,Untreated,AZD6738,0.1,25605,39.28493029,60.71506971
1006,Untreated,AZD6738,0.03,50556,77.66553617,22.33446383
1006,Untreated,AZD6738,0.01,66169,101.6820645,0
