#Filename	Pool	Barcode	run_id	lane_id	Sample.name
SLX-17617.UDP0009.H3N53BBXY.s_8	SLX-17617	UDP0009	H3N53BBXY	s_8	PAR1006-T1-P01-17.3822-T1-FF1
SLX-17617.UDP0009.HJJV3DMXX.s_1	SLX-17617	UDP0009	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3822-T1-FF1
SLX-17617.UDP0009.HJJV3DMXX.s_2	SLX-17617	UDP0009	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3822-T1-FF1
SLX-17617.UDP0010.H3N53BBXY.s_8	SLX-17617	UDP0010	H3N53BBXY	s_8	PAR1006-T1-P01-17.3822-T1-FF2
SLX-17617.UDP0010.HJJV3DMXX.s_1	SLX-17617	UDP0010	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3822-T1-FF2
SLX-17617.UDP0010.HJJV3DMXX.s_2	SLX-17617	UDP0010	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3822-T1-FF2
SLX-17617.UDP0011.H3N53BBXY.s_8	SLX-17617	UDP0011	H3N53BBXY	s_8	PAR1006-T1-P01-17.3822-T1-FF3
SLX-17617.UDP0011.HJJV3DMXX.s_1	SLX-17617	UDP0011	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3822-T1-FF3
SLX-17617.UDP0011.HJJV3DMXX.s_2	SLX-17617	UDP0011	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3822-T1-FF3
SLX-17617.UDP0012.H3N53BBXY.s_8	SLX-17617	UDP0012	H3N53BBXY	s_8	PAR1006-T1-P01-17.3823-T1-FF1
SLX-17617.UDP0012.HJJV3DMXX.s_1	SLX-17617	UDP0012	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3823-T1-FF1
SLX-17617.UDP0012.HJJV3DMXX.s_2	SLX-17617	UDP0012	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3823-T1-FF1
SLX-17617.UDP0013.H3N53BBXY.s_8	SLX-17617	UDP0013	H3N53BBXY	s_8	PAR1006-T1-P01-17.3823-T1-FF2
SLX-17617.UDP0013.HJJV3DMXX.s_1	SLX-17617	UDP0013	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3823-T1-FF2
SLX-17617.UDP0013.HJJV3DMXX.s_2	SLX-17617	UDP0013	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3823-T1-FF2
SLX-17617.UDP0014.H3N53BBXY.s_8	SLX-17617	UDP0014	H3N53BBXY	s_8	PAR1006-T1-P01-17.3823-T1-FF3
SLX-17617.UDP0014.HJJV3DMXX.s_1	SLX-17617	UDP0014	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3823-T1-FF3
SLX-17617.UDP0014.HJJV3DMXX.s_2	SLX-17617	UDP0014	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3823-T1-FF3
SLX-17617.UDP0015.H3N53BBXY.s_8	SLX-17617	UDP0015	H3N53BBXY	s_8	PAR1006-T1-P01-17.3824-T1-FF1
SLX-17617.UDP0015.HJJV3DMXX.s_1	SLX-17617	UDP0015	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3824-T1-FF1
SLX-17617.UDP0015.HJJV3DMXX.s_2	SLX-17617	UDP0015	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3824-T1-FF1
SLX-17617.UDP0016.H3N53BBXY.s_8	SLX-17617	UDP0016	H3N53BBXY	s_8	PAR1006-T1-P01-17.3825-T1-FF1
SLX-17617.UDP0016.HJJV3DMXX.s_1	SLX-17617	UDP0016	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3825-T1-FF1
SLX-17617.UDP0016.HJJV3DMXX.s_2	SLX-17617	UDP0016	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3825-T1-FF1
SLX-17617.UDP0018.H3N53BBXY.s_8	SLX-17617	UDP0018	H3N53BBXY	s_8	PAR1006-T1-P01-17.3826-T1-FF1
SLX-17617.UDP0018.HJJV3DMXX.s_1	SLX-17617	UDP0018	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3826-T1-FF1
SLX-17617.UDP0018.HJJV3DMXX.s_2	SLX-17617	UDP0018	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3826-T1-FF1
SLX-17617.UDP0001.H3N53BBXY.s_8	SLX-17617	UDP0001	H3N53BBXY	s_8	PAR1006-T1-P01-17.3843-T1-FF1
SLX-17617.UDP0001.HJJV3DMXX.s_1	SLX-17617	UDP0001	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3843-T1-FF1
SLX-17617.UDP0001.HJJV3DMXX.s_2	SLX-17617	UDP0001	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3843-T1-FF1
SLX-17617.UDP0002.H3N53BBXY.s_8	SLX-17617	UDP0002	H3N53BBXY	s_8	PAR1006-T1-P01-17.3843-T1-FF2
SLX-17617.UDP0002.HJJV3DMXX.s_1	SLX-17617	UDP0002	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3843-T1-FF2
SLX-17617.UDP0002.HJJV3DMXX.s_2	SLX-17617	UDP0002	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3843-T1-FF2
SLX-17617.UDP0025.H3N53BBXY.s_8	SLX-17617	UDP0025	H3N53BBXY	s_8	PAR1006-T1-P01-17.3843-T1-FF3
SLX-17617.UDP0025.HJJV3DMXX.s_1	SLX-17617	UDP0025	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3843-T1-FF3
SLX-17617.UDP0025.HJJV3DMXX.s_2	SLX-17617	UDP0025	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3843-T1-FF3
