## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0001.H3N53BBXY.s_8/SLX-17617.UDP0001.H3N53BBXY.s_8.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0001.H3N53BBXY.s_8.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 24 23:35:29 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	7706342	7706342	7215072	1	0.936251	6372241	0.883185	997289004	925882071	516911283	310095081	170282640	316002500	0.829254	0.170746	0.625039	13.930897	8.516352	7	394	0.46248	0.282727	81.97328	0.01283	0.071601	0.001576	0.0071	0.2726	0.64986	2.838784	0.966771	0.922594	0.340549	0.060521	0.012914	0.004197	0.001705	0.000153	18352685	11.314124	27.359668	-1	-1	-1	-1	2.901157	3.104229	0.780782	7			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1232988	0
1	1639193	0
2	2275416	0
3	2770186	48
4	3027856	196
5	3087717	59481
6	2966128	137964
7	2744937	133283
8	2498476	158594
9	2226295	451431
10	1934649	484434
11	1665976	897757
12	1416555	854098
13	1214241	444194
14	1029604	540897
15	866626	609536
16	725756	775317
17	606108	582202
18	507212	327886
19	423826	275095
20	355244	377892
21	294755	644015
22	244599	1092673
23	201859	805421
24	165802	865255
25	138510	1217512
26	118198	2132445
27	97155	2722686
28	80813	3148158
29	69508	6796494
30	58736	22033240
31	50024	162456217
32	42179	108770842
33	36019	1569700
34	31034	255115
35	26833	238502
36	23269	246769
37	20581	111875
38	18208	109704
39	16567	147431
40	14962	126846
41	13031	70729
42	11760	0
43	10164	0
44	8955	0
45	8128	0
46	7133	0
47	6469	0
48	6035	0
49	5826	0
50	4997	0
51	4679	0
52	4189	0
53	3838	0
54	3425	0
55	3130	0
56	2850	0
57	2410	0
58	2138	0
59	1812	0
60	1738	0
61	1715	0
62	1567	0
63	1456	0
64	1339	0
65	1245	0
66	1092	0
67	1007	0
68	877	0
69	810	0
70	779	0
71	786	0
72	762	0
73	643	0
74	626	0
75	585	0
76	638	0
77	530	0
78	487	0
79	458	0
80	423	0
81	361	0
82	342	0
83	356	0
84	342	0
85	346	0
86	271	0
87	276	0
88	242	0
89	239	0
90	235	0
91	225	0
92	204	0
93	192	0
94	170	0
95	171	0
96	161	0
97	165	0
98	156	0
99	125	0
100	125	0
101	153	0
102	129	0
103	115	0
104	132	0
105	129	0
106	117	0
107	130	0
108	102	0
109	105	0
110	92	0
111	90	0
112	85	0
113	72	0
114	67	0
115	86	0
116	62	0
117	57	0
118	62	0
119	60	0
120	69	0
121	67	0
122	44	0
123	61	0
124	52	0
125	54	0
126	63	0
127	52	0
128	68	0
129	62	0
130	54	0
131	52	0
132	58	0
133	67	0
134	65	0
135	55	0
136	44	0
137	63	0
138	37	0
139	53	0
140	57	0
141	50	0
142	41	0
143	39	0
144	55	0
145	40	0
146	34	0
147	48	0
148	51	0
149	33	0
150	41	0
151	21	0
152	25	0
153	32	0
154	18	0
155	22	0
156	24	0
157	22	0
158	26	0
159	28	0
160	23	0
161	26	0
162	19	0
163	14	0
164	9	0
165	9	0
166	12	0
167	17	0
168	20	0
169	14	0
170	14	0
171	9	0
172	23	0
173	12	0
174	21	0
175	21	0
176	24	0
177	13	0
178	24	0
179	10	0
180	17	0
181	20	0
182	19	0
183	15	0
184	25	0
185	18	0
186	30	0
187	19	0
188	15	0
189	18	0
190	20	0
191	14	0
192	7	0
193	18	0
194	21	0
195	26	0
196	18	0
197	21	0
198	27	0
199	13	0
200	1140	0

