## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0001.HJJV3DMXX.s_1/SLX-17617.UDP0001.HJJV3DMXX.s_1.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0001.HJJV3DMXX.s_1.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 25 04:27:01 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	50341432	50341432	45101120	1	0.895905	39696879	0.880175	4479493426	3957252052	2261920072	1420617311	796956043	1743651074	0.822088	0.177912	0.614229	60.959351	46.991863	40	1425	0.450776	0.347491	79.859334	0.003249	0.116585	0.002107	0.00313	0.078149	0.797317	2.135994	0.99113	0.988299	0.953298	0.83651	0.667207	0.502548	0.367727	0.064815	68463569	5.126069	5.457984	5.845218	6.335187	6.951599	-1	4.900261	1.870372	0.980937	17			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	329119	0
1	105052	0
2	101885	0
3	111174	0
4	123593	0
5	140315	9
6	163062	2359
7	189451	16894
8	219198	22109
9	250052	2259720
10	281925	1668727
11	315233	3225724
12	354094	760746
13	388322	1707827
14	422277	2332628
15	456259	1076345
16	490693	448692
17	517108	98508
18	542536	243330
19	564995	73909
20	583908	8772
21	603614	8842
22	611306	62028
23	626102	292663
24	635229	4391840
25	642290	7863613
26	644170	4428575
27	645918	7328147
28	644941	6384278
29	644599	12044389
30	642121	69603143
31	636139	1567591182
32	634169	53522711
33	625477	330089
34	615701	135820
35	611593	149933
36	602774	141386
37	593027	111495
38	580770	484
39	567961	0
40	554312	0
41	544397	0
42	530688	0
43	518097	0
44	506574	0
45	493439	0
46	484270	0
47	470091	0
48	455459	0
49	445242	0
50	434437	0
51	423848	0
52	412105	0
53	403040	0
54	389485	0
55	378627	0
56	367897	0
57	356276	0
58	346256	0
59	336449	0
60	325244	0
61	317550	0
62	307923	0
63	298034	0
64	290251	0
65	281300	0
66	270885	0
67	263106	0
68	254813	0
69	248656	0
70	239207	0
71	230787	0
72	223324	0
73	215884	0
74	209348	0
75	202948	0
76	196888	0
77	189634	0
78	182390	0
79	175605	0
80	168690	0
81	163879	0
82	157880	0
83	153856	0
84	147921	0
85	143028	0
86	137087	0
87	132495	0
88	127163	0
89	122268	0
90	117878	0
91	113601	0
92	110306	0
93	106202	0
94	102591	0
95	99395	0
96	96245	0
97	91882	0
98	88959	0
99	86166	0
100	82923	0
101	79612	0
102	76782	0
103	74456	0
104	71270	0
105	68905	0
106	66588	0
107	63760	0
108	61886	0
109	59881	0
110	57133	0
111	55237	0
112	53155	0
113	50767	0
114	49427	0
115	47602	0
116	45680	0
117	44156	0
118	42657	0
119	41198	0
120	39008	0
121	38130	0
122	36817	0
123	35726	0
124	34593	0
125	32995	0
126	31824	0
127	30966	0
128	29573	0
129	28713	0
130	27663	0
131	26666	0
132	25498	0
133	24647	0
134	23608	0
135	22780	0
136	21823	0
137	21019	0
138	19947	0
139	19514	0
140	18585	0
141	17942	0
142	17306	0
143	16568	0
144	15812	0
145	15491	0
146	15051	0
147	14517	0
148	14038	0
149	13494	0
150	12933	0
151	12453	0
152	12137	0
153	11647	0
154	11358	0
155	10997	0
156	10751	0
157	10500	0
158	10072	0
159	9713	0
160	9424	0
161	9030	0
162	9050	0
163	8599	0
164	8171	0
165	8055	0
166	7888	0
167	7718	0
168	7266	0
169	7084	0
170	7020	0
171	6761	0
172	6498	0
173	6355	0
174	6242	0
175	6204	0
176	5846	0
177	5797	0
178	5600	0
179	5458	0
180	5231	0
181	5041	0
182	4810	0
183	4638	0
184	4726	0
185	4522	0
186	4374	0
187	4283	0
188	4279	0
189	4250	0
190	3961	0
191	3874	0
192	3680	0
193	3640	0
194	3482	0
195	3426	0
196	3360	0
197	3196	0
198	3066	0
199	3122	0
200	143996	0

