## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0007.H3N53BBXY.s_8/SLX-17617.UDP0007.H3N53BBXY.s_8.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0007.H3N53BBXY.s_8.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 24 23:17:53 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	6326596	6326596	5898210	1	0.932288	5229311	0.886593	824097496	761598393	418096862	269449663	136550971	264502266	0.834302	0.165698	0.6081	11.267822	7.128407	6	393	0.454682	0.287647	80.237178	0.016955	0.075839	0.001619	0.005749	0.247923	0.670236	2.376136	0.96096	0.903007	0.247538	0.033359	0.007349	0.00239	0.000948	0.000118	14459724	9.499017	-1	-1	-1	-1	-1	2.698772	2.852717	0.72959	6			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1448612	0
1	2150338	0
2	2962102	0
3	3477233	91
4	3644784	126
5	3538092	222
6	3256647	9767
7	2881654	136941
8	2478210	104255
9	2082708	436640
10	1723532	352420
11	1402275	580028
12	1139228	614251
13	919750	924514
14	745053	367018
15	599220	194696
16	479817	154999
17	385921	197101
18	306619	157013
19	245808	204071
20	199681	434440
21	162220	505588
22	133031	694088
23	109522	1010720
24	88270	937767
25	74796	949815
26	61971	1172187
27	53397	1732647
28	44364	2652522
29	37826	5308135
30	31601	18357637
31	26613	134912180
32	23818	92508352
33	21349	1921583
34	19214	260850
35	15935	235385
36	13461	255878
37	11842	93364
38	10665	114374
39	9539	152294
40	8529	135553
41	7807	80732
42	7071	0
43	6104	0
44	5534	0
45	4775	0
46	4365	0
47	3512	0
48	2939	0
49	2853	0
50	2742	0
51	2354	0
52	2037	0
53	1938	0
54	1739	0
55	1546	0
56	1501	0
57	1377	0
58	1349	0
59	1144	0
60	999	0
61	884	0
62	765	0
63	733	0
64	636	0
65	638	0
66	537	0
67	452	0
68	405	0
69	382	0
70	368	0
71	408	0
72	401	0
73	395	0
74	397	0
75	348	0
76	332	0
77	258	0
78	281	0
79	253	0
80	200	0
81	191	0
82	165	0
83	182	0
84	188	0
85	208	0
86	212	0
87	185	0
88	177	0
89	199	0
90	164	0
91	150	0
92	113	0
93	144	0
94	107	0
95	143	0
96	116	0
97	135	0
98	112	0
99	124	0
100	134	0
101	95	0
102	125	0
103	86	0
104	90	0
105	85	0
106	70	0
107	71	0
108	70	0
109	53	0
110	70	0
111	89	0
112	72	0
113	72	0
114	64	0
115	85	0
116	74	0
117	65	0
118	67	0
119	75	0
120	56	0
121	63	0
122	56	0
123	59	0
124	58	0
125	55	0
126	47	0
127	42	0
128	38	0
129	38	0
130	32	0
131	35	0
132	31	0
133	39	0
134	19	0
135	24	0
136	14	0
137	25	0
138	25	0
139	27	0
140	31	0
141	26	0
142	24	0
143	35	0
144	27	0
145	26	0
146	34	0
147	31	0
148	24	0
149	16	0
150	19	0
151	17	0
152	32	0
153	18	0
154	29	0
155	26	0
156	25	0
157	17	0
158	22	0
159	27	0
160	18	0
161	19	0
162	16	0
163	26	0
164	21	0
165	14	0
166	16	0
167	16	0
168	6	0
169	7	0
170	7	0
171	5	0
172	8	0
173	5	0
174	5	0
175	16	0
176	17	0
177	18	0
178	13	0
179	11	0
180	6	0
181	14	0
182	9	0
183	7	0
184	8	0
185	9	0
186	15	0
187	11	0
188	17	0
189	11	0
190	12	0
191	14	0
192	17	0
193	20	0
194	9	0
195	9	0
196	7	0
197	8	0
198	11	0
199	8	0
200	975	0

