## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0009.HJJV3DMXX.s_2/SLX-17617.UDP0009.HJJV3DMXX.s_2.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0009.HJJV3DMXX.s_2.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 24 00:26:21 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	50523026	50523026	45839490	1	0.907299	40524466	0.884051	4499552756	4033172998	2260626814	1464778060	774147882	1771299937	0.82795	0.17205	0.606814	60.924498	47.737007	40	1533	0.449734	0.352387	79.457859	0.003173	0.10365	0.002195	0.004634	0.077191	0.811058	2.169864	0.991731	0.989171	0.954892	0.83743	0.669738	0.509683	0.376913	0.070896	79955856	5.19531	5.480362	5.808964	6.20487	6.698961	15.421559	6.022936	1.504439	0.982127	17			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	306837	0
1	94967	0
2	96271	0
3	102092	0
4	117746	4
5	136867	98
6	160916	5814
7	188998	21350
8	217390	612954
9	251666	3636465
10	284836	775798
11	319438	3267258
12	357950	5287522
13	392732	2913504
14	426321	2665371
15	460696	788982
16	488102	253977
17	519315	149683
18	543121	257112
19	565972	108522
20	582168	25013
21	599861	8838
22	612855	101559
23	623151	4142006
24	628446	3574679
25	633565	6432143
26	636575	7055092
27	636575	13274986
28	637615	12745438
29	631454	14379620
30	625515	77883234
31	621397	1582340282
32	617049	39644676
33	609749	488912
34	599776	164882
35	590674	137876
36	580324	123618
37	573889	105878
38	564931	0
39	555600	0
40	544477	0
41	533264	0
42	522624	0
43	512832	0
44	500893	0
45	487539	0
46	472884	0
47	461604	0
48	450161	0
49	440218	0
50	428018	0
51	418684	0
52	406531	0
53	396118	0
54	386906	0
55	377126	0
56	366015	0
57	354612	0
58	343788	0
59	334004	0
60	325004	0
61	315609	0
62	307906	0
63	299316	0
64	289228	0
65	282657	0
66	273373	0
67	266075	0
68	256922	0
69	249578	0
70	241973	0
71	233747	0
72	225920	0
73	219302	0
74	212023	0
75	205784	0
76	200435	0
77	193620	0
78	188064	0
79	181221	0
80	174170	0
81	169049	0
82	162392	0
83	158144	0
84	152303	0
85	146862	0
86	142495	0
87	137658	0
88	131796	0
89	128387	0
90	123689	0
91	120316	0
92	115496	0
93	111868	0
94	108589	0
95	104766	0
96	101991	0
97	99380	0
98	94164	0
99	91806	0
100	88747	0
101	85629	0
102	82650	0
103	79715	0
104	77253	0
105	75204	0
106	72140	0
107	69135	0
108	66739	0
109	64760	0
110	62020	0
111	60636	0
112	58930	0
113	56846	0
114	54716	0
115	52568	0
116	50802	0
117	48972	0
118	46661	0
119	44711	0
120	43440	0
121	42519	0
122	40772	0
123	39704	0
124	38211	0
125	37009	0
126	35772	0
127	34344	0
128	33144	0
129	31996	0
130	30549	0
131	29366	0
132	28363	0
133	27384	0
134	26407	0
135	25404	0
136	24588	0
137	23652	0
138	22858	0
139	22103	0
140	21536	0
141	20855	0
142	19891	0
143	19416	0
144	18881	0
145	18294	0
146	17930	0
147	16876	0
148	16627	0
149	16053	0
150	15834	0
151	14835	0
152	14114	0
153	13501	0
154	13271	0
155	12764	0
156	12427	0
157	11876	0
158	11519	0
159	10843	0
160	10442	0
161	10341	0
162	9776	0
163	9420	0
164	9129	0
165	8848	0
166	8886	0
167	8428	0
168	8209	0
169	7824	0
170	7643	0
171	7251	0
172	7117	0
173	6897	0
174	6723	0
175	6522	0
176	6148	0
177	6089	0
178	6114	0
179	5908	0
180	5742	0
181	5672	0
182	5192	0
183	5178	0
184	4902	0
185	4905	0
186	4587	0
187	4492	0
188	4277	0
189	4233	0
190	4131	0
191	3980	0
192	3966	0
193	3930	0
194	3586	0
195	3688	0
196	3505	0
197	3470	0
198	3388	0
199	3218	0
200	133086	0

