## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0011.HJJV3DMXX.s_1/SLX-17617.UDP0011.HJJV3DMXX.s_1.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0011.HJJV3DMXX.s_1.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 23 23:10:43 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	36268754	36268754	33161892	1	0.914338	29423354	0.887264	3235775557	2926600396	1560761243	1128235270	546779044	1270121181	0.831021	0.168979	0.580425	42.062933	34.230106	29	1124	0.432787	0.352194	76.284344	0.003343	0.095549	0.002185	0.003929	0.058914	0.837551	2.282007	0.991157	0.987604	0.915608	0.700273	0.480832	0.315396	0.201847	0.020839	63475305	5.631473	6.075146	6.632582	7.372037	8.375421	-1	6.515904	1.463158	0.97445	16			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	328141	0
1	131818	0
2	145011	0
3	181078	0
4	227272	6
5	284959	11
6	349915	50
7	422932	10886
8	495612	22575
9	564651	92327
10	634846	3586184
11	690566	2566237
12	739807	822274
13	783408	525861
14	816209	2868584
15	842928	1170551
16	858903	442737
17	868665	283313
18	877076	202404
19	877689	81241
20	875862	18193
21	869076	7012
22	856113	9343
23	844282	44778
24	827177	215901
25	810758	7124397
26	795974	6837173
27	772620	6870760
28	757760	7454419
29	732814	24094589
30	710947	54848813
31	689570	1138313039
32	666094	20392582
33	643233	452487
34	623633	155347
35	603219	128998
36	582571	135935
37	561779	113453
38	538604	433
39	518935	0
40	498897	0
41	479505	0
42	462169	0
43	446067	0
44	428722	0
45	408933	0
46	394603	0
47	380632	0
48	364162	0
49	349561	0
50	335574	0
51	320511	0
52	307505	0
53	293344	0
54	281315	0
55	268192	0
56	256545	0
57	245452	0
58	235649	0
59	224374	0
60	213152	0
61	204498	0
62	195568	0
63	186810	0
64	178345	0
65	170636	0
66	163015	0
67	155134	0
68	147974	0
69	140393	0
70	133687	0
71	126870	0
72	121762	0
73	115584	0
74	110228	0
75	104669	0
76	100460	0
77	95354	0
78	91636	0
79	87980	0
80	83832	0
81	80193	0
82	76846	0
83	73046	0
84	69968	0
85	66878	0
86	63391	0
87	60619	0
88	57460	0
89	54246	0
90	51591	0
91	49115	0
92	46408	0
93	44289	0
94	42109	0
95	40620	0
96	38697	0
97	36566	0
98	34972	0
99	33342	0
100	31911	0
101	30084	0
102	28878	0
103	27873	0
104	26496	0
105	25295	0
106	23967	0
107	22886	0
108	22043	0
109	20757	0
110	20017	0
111	19331	0
112	18513	0
113	17387	0
114	16732	0
115	15753	0
116	14846	0
117	14528	0
118	13813	0
119	13250	0
120	12484	0
121	11955	0
122	11679	0
123	11030	0
124	10679	0
125	10001	0
126	9698	0
127	9186	0
128	8985	0
129	8653	0
130	8305	0
131	8080	0
132	7755	0
133	7374	0
134	7122	0
135	6878	0
136	6626	0
137	6290	0
138	6091	0
139	5918	0
140	5812	0
141	5511	0
142	5340	0
143	5253	0
144	4893	0
145	4585	0
146	4487	0
147	4375	0
148	4103	0
149	3885	0
150	3897	0
151	3589	0
152	3553	0
153	3471	0
154	3439	0
155	3271	0
156	3108	0
157	3071	0
158	2959	0
159	2733	0
160	2796	0
161	2635	0
162	2496	0
163	2422	0
164	2457	0
165	2275	0
166	2197	0
167	2099	0
168	2024	0
169	1873	0
170	1853	0
171	1792	0
172	1716	0
173	1747	0
174	1569	0
175	1489	0
176	1480	0
177	1329	0
178	1373	0
179	1308	0
180	1232	0
181	1224	0
182	1180	0
183	1178	0
184	1122	0
185	1060	0
186	1016	0
187	996	0
188	1025	0
189	966	0
190	970	0
191	920	0
192	863	0
193	830	0
194	791	0
195	778	0
196	831	0
197	668	0
198	713	0
199	697	0
200	34747	0

