## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0012.H3N53BBXY.s_8/SLX-17617.UDP0012.H3N53BBXY.s_8.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0012.H3N53BBXY.s_8.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 23 20:04:12 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	6428530	6428530	6075260	1	0.945047	5403957	0.889502	835124050	783874373	430423205	270071848	134628997	274105364	0.838792	0.161208	0.614456	11.600021	7.387213	6	348	0.462468	0.294512	81.512088	0.016465	0.061368	0.001582	0.007314	0.255038	0.677523	2.462404	0.961441	0.906503	0.27078	0.036527	0.00693	0.002004	0.000838	0.000111	18355688	9.068268	14.787514	-1	-1	-1	-1	3.16012	2.900223	0.740913	6			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1430749	0
1	2038478	0
2	2828522	0
3	3325878	6284
4	3494361	19992
5	3397560	23074
6	3145370	84813
7	2821407	127411
8	2458061	138453
9	2117585	411392
10	1785270	419924
11	1485752	882728
12	1232514	826920
13	1020384	420063
14	832702	554340
15	679094	425696
16	549474	419765
17	449159	386876
18	363982	316267
19	293743	341223
20	238562	481009
21	190338	612882
22	153920	909279
23	121844	859221
24	99657	795165
25	82304	1105329
26	68054	1530188
27	56371	2314882
28	47430	3206286
29	39707	6289158
30	33843	17485333
31	28662	135170831
32	24229	100047928
33	20415	1776650
34	17411	302377
35	15376	270801
36	12890	274673
37	11301	131609
38	10010	127498
39	8667	169969
40	7485	133966
41	6421	68528
42	5564	0
43	4981	0
44	4306	0
45	3592	0
46	3349	0
47	2755	0
48	2545	0
49	2248	0
50	2174	0
51	1906	0
52	1659	0
53	1550	0
54	1376	0
55	1299	0
56	1146	0
57	1129	0
58	1006	0
59	906	0
60	862	0
61	872	0
62	791	0
63	771	0
64	691	0
65	628	0
66	494	0
67	441	0
68	393	0
69	385	0
70	418	0
71	417	0
72	352	0
73	326	0
74	281	0
75	281	0
76	284	0
77	283	0
78	263	0
79	286	0
80	259	0
81	210	0
82	216	0
83	178	0
84	171	0
85	187	0
86	197	0
87	163	0
88	160	0
89	138	0
90	136	0
91	124	0
92	166	0
93	142	0
94	148	0
95	170	0
96	164	0
97	145	0
98	128	0
99	119	0
100	109	0
101	96	0
102	111	0
103	121	0
104	96	0
105	78	0
106	79	0
107	64	0
108	58	0
109	51	0
110	44	0
111	52	0
112	51	0
113	61	0
114	53	0
115	54	0
116	64	0
117	70	0
118	61	0
119	69	0
120	74	0
121	62	0
122	64	0
123	61	0
124	47	0
125	56	0
126	42	0
127	37	0
128	52	0
129	41	0
130	39	0
131	35	0
132	35	0
133	38	0
134	39	0
135	29	0
136	24	0
137	32	0
138	22	0
139	22	0
140	32	0
141	30	0
142	31	0
143	33	0
144	24	0
145	27	0
146	29	0
147	26	0
148	23	0
149	34	0
150	21	0
151	22	0
152	15	0
153	22	0
154	17	0
155	11	0
156	14	0
157	16	0
158	19	0
159	16	0
160	8	0
161	15	0
162	8	0
163	7	0
164	13	0
165	9	0
166	12	0
167	12	0
168	14	0
169	9	0
170	15	0
171	13	0
172	15	0
173	10	0
174	12	0
175	12	0
176	10	0
177	15	0
178	9	0
179	18	0
180	17	0
181	11	0
182	7	0
183	10	0
184	9	0
185	9	0
186	4	0
187	8	0
188	10	0
189	9	0
190	3	0
191	8	0
192	9	0
193	15	0
194	18	0
195	14	0
196	12	0
197	8	0
198	14	0
199	10	0
200	914	0

