## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0014.HJJV3DMXX.s_1/SLX-17617.UDP0014.HJJV3DMXX.s_1.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0014.HJJV3DMXX.s_1.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 24 00:45:03 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	43083082	43083082	39247892	1	0.910982	34771654	0.88595	3842466028	3460616434	1903538391	1267575702	671351935	1512468445	0.825281	0.174719	0.600274	51.300869	40.761429	34	1337	0.444063	0.352833	78.348185	0.003206	0.099376	0.002202	0.003709	0.072568	0.819983	2.264524	0.992003	0.989163	0.941478	0.780078	0.581714	0.412477	0.285043	0.040865	71231809	5.496687	5.861759	6.307959	6.855568	7.565431	-1	6.464934	1.34434	0.980044	17			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	296715	0
1	105414	0
2	111643	0
3	127026	0
4	152583	0
5	185132	0
6	229168	12
7	272684	109
8	320291	20960
9	370818	2171948
10	420016	1671181
11	467544	3364302
12	514940	986094
13	560611	1943679
14	600122	2366763
15	634011	906255
16	666605	343207
17	689018	158237
18	709732	196955
19	726205	51488
20	736893	6169
21	741286	5807
22	746593	31774
23	751683	143300
24	746087	4743130
25	741354	6201137
26	735791	5184302
27	731118	6945536
28	720369	7912306
29	709218	13424447
30	694908	57225565
31	681855	1347605538
32	669591	55776391
33	653491	419709
34	635476	163885
35	622425	132014
36	604416	131745
37	589366	112920
38	572679	0
39	555382	0
40	540585	0
41	525167	0
42	510131	0
43	494037	0
44	478328	0
45	465392	0
46	451182	0
47	436366	0
48	421258	0
49	406044	0
50	393772	0
51	380285	0
52	368055	0
53	355618	0
54	344186	0
55	331687	0
56	320490	0
57	308845	0
58	298314	0
59	288068	0
60	277184	0
61	266601	0
62	257259	0
63	246449	0
64	236901	0
65	227965	0
66	218849	0
67	211125	0
68	202569	0
69	193727	0
70	186787	0
71	180430	0
72	172143	0
73	164748	0
74	158936	0
75	151918	0
76	146678	0
77	141607	0
78	136375	0
79	131247	0
80	126422	0
81	121315	0
82	115903	0
83	111278	0
84	107293	0
85	102848	0
86	98419	0
87	94051	0
88	90821	0
89	86740	0
90	84134	0
91	80308	0
92	77021	0
93	74461	0
94	71967	0
95	69058	0
96	66640	0
97	63474	0
98	60696	0
99	58653	0
100	55892	0
101	54003	0
102	52009	0
103	49730	0
104	47570	0
105	45708	0
106	43735	0
107	41913	0
108	40208	0
109	38702	0
110	37224	0
111	35575	0
112	34304	0
113	33021	0
114	31607	0
115	30415	0
116	29511	0
117	28260	0
118	26953	0
119	26066	0
120	25308	0
121	24121	0
122	22957	0
123	22028	0
124	21206	0
125	20132	0
126	19167	0
127	18027	0
128	17611	0
129	16976	0
130	16236	0
131	15382	0
132	15144	0
133	14506	0
134	13691	0
135	13250	0
136	12614	0
137	12133	0
138	11720	0
139	11070	0
140	10854	0
141	10465	0
142	10319	0
143	9695	0
144	9651	0
145	8921	0
146	9121	0
147	8602	0
148	8381	0
149	8191	0
150	7888	0
151	7479	0
152	7479	0
153	7162	0
154	7032	0
155	6819	0
156	6502	0
157	6381	0
158	6225	0
159	6176	0
160	5994	0
161	5820	0
162	5510	0
163	5308	0
164	5229	0
165	5080	0
166	4906	0
167	4710	0
168	4618	0
169	4279	0
170	4347	0
171	4118	0
172	3972	0
173	3873	0
174	3760	0
175	3724	0
176	3655	0
177	3522	0
178	3410	0
179	3290	0
180	3127	0
181	3133	0
182	3077	0
183	2918	0
184	2854	0
185	2823	0
186	2669	0
187	2583	0
188	2563	0
189	2506	0
190	2346	0
191	2332	0
192	2316	0
193	2309	0
194	2218	0
195	2164	0
196	2110	0
197	2004	0
198	1906	0
199	1917	0
200	88286	0

