## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0015.H3N53BBXY.s_8/SLX-17617.UDP0015.H3N53BBXY.s_8.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0015.H3N53BBXY.s_8.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 23 20:23:20 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	5702330	5702330	5407926	1	0.948371	4807053	0.88889	737519703	694915343	374587951	237894847	125036905	239693161	0.830463	0.169537	0.611589	10.095246	6.459795	5	284	0.455327	0.291357	80.326253	0.020392	0.057767	0.001639	0.007401	0.254557	0.681561	3.229897	0.955199	0.885687	0.2101	0.022482	0.003818	0.001078	0.000475	0.000085	17154885	14.028883	-1	-1	-1	-1	-1	2.943426	2.44293	0.696866	5			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1662344	0
1	2579295	0
2	3450151	0
3	3870818	82666
4	3869630	71968
5	3619169	30967
6	3231915	12517
7	2764016	88088
8	2324866	92731
9	1937323	316925
10	1582095	343032
11	1272764	597759
12	1021207	726787
13	808101	393884
14	637259	456085
15	501060	265644
16	393749	234617
17	308205	363986
18	243885	542217
19	193336	547609
20	153614	730099
21	122474	790078
22	96434	808078
23	77250	708169
24	61436	613517
25	50530	850904
26	42684	1515458
27	35467	1976897
28	28941	3046238
29	23713	5681559
30	19087	18682805
31	16217	126039231
32	13837	75469720
33	11690	1293757
34	9957	308965
35	8210	269609
36	6949	268901
37	6249	130332
38	5189	114118
39	4283	165517
40	3816	134724
41	3371	67155
42	2909	0
43	2469	0
44	2097	0
45	1917	0
46	1710	0
47	1468	0
48	1408	0
49	1204	0
50	1099	0
51	899	0
52	816	0
53	816	0
54	685	0
55	586	0
56	607	0
57	567	0
58	415	0
59	339	0
60	327	0
61	335	0
62	296	0
63	290	0
64	296	0
65	290	0
66	295	0
67	285	0
68	269	0
69	260	0
70	241	0
71	230	0
72	186	0
73	210	0
74	219	0
75	223	0
76	227	0
77	209	0
78	168	0
79	158	0
80	172	0
81	137	0
82	141	0
83	142	0
84	149	0
85	176	0
86	149	0
87	145	0
88	145	0
89	158	0
90	141	0
91	114	0
92	127	0
93	121	0
94	112	0
95	99	0
96	94	0
97	91	0
98	106	0
99	113	0
100	89	0
101	107	0
102	72	0
103	104	0
104	67	0
105	72	0
106	59	0
107	50	0
108	42	0
109	56	0
110	49	0
111	46	0
112	29	0
113	45	0
114	34	0
115	30	0
116	36	0
117	35	0
118	30	0
119	36	0
120	23	0
121	18	0
122	28	0
123	29	0
124	25	0
125	25	0
126	9	0
127	17	0
128	16	0
129	27	0
130	32	0
131	25	0
132	21	0
133	17	0
134	20	0
135	18	0
136	19	0
137	32	0
138	22	0
139	22	0
140	15	0
141	21	0
142	12	0
143	19	0
144	16	0
145	13	0
146	5	0
147	11	0
148	8	0
149	8	0
150	9	0
151	14	0
152	17	0
153	19	0
154	15	0
155	9	0
156	11	0
157	11	0
158	10	0
159	11	0
160	11	0
161	12	0
162	24	0
163	16	0
164	20	0
165	24	0
166	21	0
167	16	0
168	12	0
169	10	0
170	12	0
171	9	0
172	11	0
173	15	0
174	18	0
175	18	0
176	17	0
177	24	0
178	18	0
179	20	0
180	16	0
181	14	0
182	10	0
183	6	0
184	6	0
185	0	0
186	4	0
187	8	0
188	13	0
189	7	0
190	6	0
191	12	0
192	10	0
193	9	0
194	16	0
195	14	0
196	21	0
197	16	0
198	19	0
199	18	0
200	800	0

