## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0043.H3N53BBXY.s_8/SLX-17617.UDP0043.H3N53BBXY.s_8.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0043.H3N53BBXY.s_8.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 25 00:29:38 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	6816898	6816898	6366274	1	0.933896	5652747	0.887921	885099114	819629459	454486268	287180637	143432209	286750946	0.837948	0.162052	0.61279	12.248527	7.728015	6	434	0.460741	0.290697	81.20938	0.01613	0.073969	0.00158	0.00637	0.250268	0.669785	2.576005	0.962988	0.909626	0.284803	0.047519	0.011144	0.003618	0.001451	0.000142	15995601	10.149907	31.688828	-1	-1	-1	-1	4.770694	2.096048	0.747352	6			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1373330	0
1	1980028	0
2	2742346	0
3	3214077	69
4	3414013	157
5	3354326	305
6	3133735	5279
7	2801415	112382
8	2437912	183526
9	2086483	494356
10	1774284	459538
11	1480703	638264
12	1233315	873705
13	1026333	819577
14	843984	526956
15	698203	261845
16	572682	179200
17	470440	200187
18	384902	226823
19	319658	339346
20	264946	454029
21	219231	558522
22	182875	889315
23	152553	942948
24	126881	902622
25	109299	1160521
26	91963	1656645
27	78099	2194017
28	66883	3053488
29	56970	6832930
30	49528	18643354
31	42215	164277715
32	35711	82731088
33	31301	1036260
34	27444	220551
35	24011	225165
36	20907	241430
37	18379	101133
38	15857	121123
39	13929	172891
40	12575	146332
41	11258	86259
42	9926	0
43	8877	0
44	7973	0
45	7120	0
46	6515	0
47	5935	0
48	5361	0
49	4842	0
50	4534	0
51	4036	0
52	3499	0
53	3182	0
54	3034	0
55	2776	0
56	2306	0
57	1936	0
58	1771	0
59	1674	0
60	1527	0
61	1422	0
62	1238	0
63	1118	0
64	1036	0
65	1004	0
66	985	0
67	796	0
68	822	0
69	713	0
70	678	0
71	583	0
72	548	0
73	527	0
74	515	0
75	476	0
76	472	0
77	448	0
78	434	0
79	405	0
80	398	0
81	372	0
82	344	0
83	276	0
84	266	0
85	278	0
86	244	0
87	207	0
88	200	0
89	200	0
90	169	0
91	171	0
92	156	0
93	125	0
94	133	0
95	138	0
96	141	0
97	115	0
98	101	0
99	70	0
100	72	0
101	75	0
102	94	0
103	113	0
104	106	0
105	99	0
106	95	0
107	100	0
108	70	0
109	78	0
110	86	0
111	69	0
112	69	0
113	65	0
114	65	0
115	84	0
116	84	0
117	81	0
118	66	0
119	59	0
120	59	0
121	71	0
122	52	0
123	62	0
124	73	0
125	72	0
126	59	0
127	51	0
128	57	0
129	56	0
130	60	0
131	47	0
132	50	0
133	44	0
134	51	0
135	52	0
136	63	0
137	52	0
138	55	0
139	47	0
140	29	0
141	37	0
142	30	0
143	31	0
144	35	0
145	33	0
146	30	0
147	27	0
148	29	0
149	37	0
150	27	0
151	29	0
152	21	0
153	25	0
154	31	0
155	19	0
156	21	0
157	17	0
158	14	0
159	16	0
160	17	0
161	21	0
162	15	0
163	15	0
164	19	0
165	22	0
166	36	0
167	26	0
168	31	0
169	26	0
170	27	0
171	22	0
172	23	0
173	25	0
174	16	0
175	16	0
176	20	0
177	17	0
178	23	0
179	24	0
180	26	0
181	12	0
182	10	0
183	19	0
184	14	0
185	12	0
186	7	0
187	14	0
188	12	0
189	7	0
190	8	0
191	8	0
192	12	0
193	5	0
194	13	0
195	7	0
196	7	0
197	16	0
198	12	0
199	11	0
200	1277	0

