## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0045.HJJV3DMXX.s_1/SLX-17617.UDP0045.HJJV3DMXX.s_1.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0045.HJJV3DMXX.s_1.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 25 05:38:03 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	48233942	48233942	43834624	1	0.908792	38812891	0.885439	4305027535	3866714884	2176465826	1406068051	722493658	1718554540	0.832174	0.167826	0.607521	58.656336	46.315505	38	1521	0.453055	0.357736	79.956404	0.003206	0.101814	0.002167	0.00375	0.074766	0.815269	2.2055	0.991604	0.988812	0.948325	0.821098	0.645586	0.479751	0.347504	0.066859	78044026	5.224639	5.520282	5.872779	6.304872	6.809739	19.526928	6.349916	1.425848	0.980668	17			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	311532	0
1	103595	0
2	107602	0
3	117937	0
4	139653	5
5	165430	7
6	197266	51
7	224069	193
8	256932	5184
9	293390	553963
10	328144	3790087
11	361562	3597190
12	394744	1073032
13	431416	1538958
14	464187	3266943
15	495907	1343204
16	525316	289038
17	551057	238912
18	573095	210035
19	595379	88993
20	611782	7019
21	632649	2358
22	640229	8167
23	651315	54800
24	654480	990191
25	662593	10490702
26	663705	5677002
27	668314	8722486
28	666151	9531471
29	661226	15973460
30	656670	71640142
31	650645	1551923588
32	642464	28561420
33	631059	568813
34	620761	142905
35	611114	141775
36	603612	111765
37	592217	106551
38	579266	524
39	565575	0
40	550020	0
41	535447	0
42	523300	0
43	508440	0
44	495728	0
45	483997	0
46	471366	0
47	458859	0
48	445850	0
49	434050	0
50	421331	0
51	409937	0
52	396056	0
53	385919	0
54	374489	0
55	361722	0
56	349095	0
57	339652	0
58	327510	0
59	316868	0
60	307049	0
61	296936	0
62	287538	0
63	277601	0
64	268578	0
65	259530	0
66	252062	0
67	243629	0
68	233988	0
69	227118	0
70	219406	0
71	211800	0
72	204823	0
73	196788	0
74	190381	0
75	183228	0
76	176278	0
77	171082	0
78	166009	0
79	158792	0
80	153078	0
81	147814	0
82	142708	0
83	135574	0
84	130432	0
85	126612	0
86	121482	0
87	117331	0
88	112853	0
89	108749	0
90	104091	0
91	100939	0
92	97536	0
93	95191	0
94	92221	0
95	88196	0
96	85510	0
97	82113	0
98	78965	0
99	76851	0
100	74105	0
101	72171	0
102	69405	0
103	67002	0
104	63975	0
105	62385	0
106	60901	0
107	59295	0
108	57131	0
109	55102	0
110	53305	0
111	51702	0
112	50274	0
113	48081	0
114	46028	0
115	45031	0
116	43729	0
117	42530	0
118	41089	0
119	39311	0
120	37671	0
121	36702	0
122	35958	0
123	34320	0
124	33527	0
125	32167	0
126	31179	0
127	30349	0
128	29357	0
129	28249	0
130	27353	0
131	26595	0
132	25567	0
133	25131	0
134	24147	0
135	23253	0
136	22296	0
137	21482	0
138	20754	0
139	20413	0
140	19881	0
141	19482	0
142	18640	0
143	17903	0
144	17485	0
145	16892	0
146	16360	0
147	15957	0
148	15568	0
149	15193	0
150	14975	0
151	14579	0
152	14189	0
153	13714	0
154	13364	0
155	13099	0
156	12585	0
157	12460	0
158	11977	0
159	11718	0
160	11270	0
161	10983	0
162	10973	0
163	10581	0
164	10405	0
165	10056	0
166	9548	0
167	9330	0
168	8917	0
169	8603	0
170	8419	0
171	8365	0
172	8084	0
173	7920	0
174	7555	0
175	7469	0
176	7316	0
177	7097	0
178	6996	0
179	6727	0
180	6580	0
181	6418	0
182	6318	0
183	6144	0
184	6167	0
185	5957	0
186	5903	0
187	5684	0
188	5504	0
189	5429	0
190	5201	0
191	5215	0
192	4962	0
193	4967	0
194	4878	0
195	4671	0
196	4598	0
197	4474	0
198	4487	0
199	4379	0
200	221252	0

