Sample.ID	TOTAL_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PCT_SELECTED_BASES	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X
PAR1006-T1-P01-17.3822-T1-FF1	108308466	86881099	0.883315	0.835621	130.984055	100.195534	84	0.016572	0.002061	0.005618	0.096131	0.975384	0.959954	0.93756
PAR1006-T1-P01-17.3822-T1-FF2	108433358	86438234	0.883954	0.839197	130.358045	100.575544	85	0.016694	0.001985	0.004532	0.086443	0.97496	0.959149	0.936898
PAR1006-T1-P01-17.3822-T1-FF3	76793930	62516831	0.887229	0.839065	88.943948	71.347717	60	0.016357	0.002095	0.005269	0.072714	0.975269	0.953423	0.905453
PAR1006-T1-P01-17.3823-T1-FF1	95641486	77564180	0.886673	0.839762	115.560419	90.274369	77	0.016544	0.002011	0.004952	0.089443	0.975183	0.957925	0.931661
PAR1006-T1-P01-17.3823-T1-FF2	83719722	67823712	0.88619	0.838569	100.19563	78.500039	66	0.016567	0.002112	0.005101	0.086535	0.975213	0.955839	0.918982
PAR1006-T1-P01-17.3823-T1-FF3	91713788	74224303	0.885617	0.834944	109.421437	85.374423	71	0.016306	0.00208	0.005085	0.088718	0.975782	0.958532	0.927386
PAR1006-T1-P01-17.3824-T1-FF1	88553450	72082763	0.885609	0.830768	104.972438	82.145883	70	0.016166	0.002099	0.004929	0.092189	0.975841	0.95837	0.926678
PAR1006-T1-P01-17.3825-T1-FF1	89128604	72700961	0.887609	0.831446	106.393016	83.476575	71	0.016231	0.002098	0.003979	0.091659	0.976025	0.959186	0.929864
PAR1006-T1-P01-17.3826-T1-FF1	115697474	92810646	0.883072	0.842059	143.162482	109.17982	92	0.016908	0.001945	0.004235	0.101088	0.974705	0.95973	0.940738
PAR1006-T1-P01-17.3843-T1-FF1	107350410	85002203	0.879915	0.830689	130.376405	98.529358	83	0.01675	0.002001	0.004504	0.097076	0.974685	0.95836	0.935728
PAR1006-T1-P01-17.3843-T1-FF2	99330926	79755861	0.883285	0.838799	120.999231	93.43417	80	0.016983	0.002014	0.004338	0.093357	0.97409	0.956598	0.931552
PAR1006-T1-P01-17.3843-T1-FF3	112964452	90545739	0.883226	0.837165	138.483316	105.204915	89	0.016614	0.001977	0.004491	0.101898	0.975247	0.960312	0.940594
PAR1006-T1-P01-17.3844-T1-FF1	85340256	69093101	0.884337	0.839776	101.155823	79.462112	67	0.016371	0.002086	0.004583	0.086338	0.975335	0.956403	0.921773
PAR1006-T1-P01-17.3844-T1-FF2	108760886	87284597	0.883562	0.836993	128.456241	100.586207	85	0.016194	0.00207	0.004714	0.080914	0.975848	0.960804	0.940481
PAR1006-T1-P01-17.3844-T1-FF3	113557322	90864462	0.881988	0.832132	134.491998	104.046207	88	0.015997	0.002058	0.004948	0.087496	0.976239	0.96212	0.942961
PAR1006-T1-P01-17.3845-T1-FF1	91788986	73792338	0.884256	0.836894	109.054128	85.019901	72	0.016343	0.002103	0.004643	0.085344	0.975629	0.958193	0.929674
PAR1006-T1-P01-17.3846-T1-FF1	119810038	95371150	0.881613	0.828354	143.553094	109.161447	93	0.015955	0.002066	0.004383	0.095209	0.976323	0.962776	0.945622
PAR1006-T1-P01-17.40984-T1-FF1	93083764	75233250	0.886028	0.838102	112.112997	86.595833	71	0.016544	0.002061	0.00625	0.092707	0.975394	0.957211	0.925257
PAR1006-T1-P01-17.40985-T1-FF1	102409700	82598569	0.882833	0.830408	121.979487	94.037989	79	0.016376	0.002134	0.008776	0.091084	0.975415	0.958317	0.931521
PAR1006-T1-P01-17.40986-T1-FF1	102255632	82572057	0.885124	0.842183	124.940555	96.734508	80	0.016502	0.00204	0.005091	0.092953	0.975277	0.958464	0.931955
